sku,category,name,brand,model,description,specifications,price,stock,isActive
REP-TEC-003,componente,Teclado Laptop Lenovo G400S,Lenovo,G400S,"Teclado interno para Lenovo G400S, G405S, S410P series","{""type"": ""teclado"", ""compatibleWith"": [""Lenovo""], ""size"": ""14\""""}",90,2,True
REP-TEC-004,componente,"Teclado Laptop Lenovo V15-IIL 15.6""",Lenovo,V15-IIL,Teclado interno con botón de encendido integrado,"{""type"": ""teclado"", ""compatibleWith"": [""Lenovo""], ""size"": ""15.6\""""}",120,2,True
REP-TEC-005,componente,Teclado Laptop Acer Aspire A315-54,Acer,A315-54,Teclado interno con botón de encendido para Acer Aspire,"{""type"": ""teclado"", ""compatibleWith"": [""Acer""], ""size"": ""15.6\""""}",90,0,True
REP-TEC-006,componente,Teclado Laptop Dell Latitude 3421,Dell,Latitude 3421,"Teclado interno para Dell Latitude 3420, 3421 series","{""type"": ""teclado"", ""compatibleWith"": [""Dell""], ""size"": ""14\""""}",90,1,True
REP-PAN-001,componente,"Pantalla Laptop 14"" 30 pines HD",Genérico,Slim 14-30p,Pantalla slim 14 pulgadas HD con ganchos de sujeción,"{""type"": ""pantalla"", ""size"": ""14\"""", ""resolution"": ""HD 1366x768"", ""pins"": ""30"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",250,1,True
REP-PAN-002,componente,"Pantalla Laptop 15.6"" 30 pines HD",Genérico,Slim 15.6-30p,Pantalla slim 15.6 pulgadas HD con ganchos,"{""type"": ""pantalla"", ""size"": ""15.6\"""", ""resolution"": ""HD 1366x768"", ""pins"": ""30"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus"", ""Toshiba""]}",280,1,True
REP-PAN-003,componente,"Pantalla Laptop 15.6"" 40 pines HD",Genérico,Slim 15.6-40p,Pantalla slim 15.6 pulgadas HD conector de 40 pines,"{""type"": ""pantalla"", ""size"": ""15.6\"""", ""resolution"": ""HD 1366x768"", ""pins"": ""40"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus""]}",350,1,True
REP-PAN-004,componente,"Pantalla Laptop 14"" 40 pines FullHD",Genérico,Slim 14-40p-FHD,"Pantalla slim 14 pulgadas FullHD para Dell, sin touch","{""type"": ""pantalla"", ""size"": ""14\"""", ""resolution"": ""FullHD 1920x1080"", ""pins"": ""40"", ""compatibleWith"": [""Dell"", ""Lenovo"", ""HP""]}",300,1,True
REP-PAN-005,componente,"Pantalla Laptop 15.6"" FullHD Acer Nitro",Genérico,AN515-FHD,Pantalla FullHD para Acer Nitro AN515 con bordes,"{""type"": ""pantalla"", ""size"": ""15.6\"""", ""resolution"": ""FullHD 1920x1080"", ""pins"": ""40"", ""compatibleWith"": [""Acer""]}",340,1,True
REP-CAR-001,componente,Cargador Laptop HP 19.5V 3.33A Punta Azul,Genérico,HP-PA-Blue,Cargador para HP con punta azul delgada 4.5x3.0mm,"{""type"": ""cargador"", ""compatibleWith"": [""HP""], ""voltage"": ""19.5V"", ""amperage"": ""3.33A""}",70,9,True
REP-CAR-002,componente,Cargador Laptop HP 18.5V 3.5A Punta Gruesa,Genérico,HP-PA-7450,Cargador para HP modelos antiguos 7.4x5.0mm,"{""type"": ""cargador"", ""compatibleWith"": [""HP""], ""voltage"": ""18.5V"", ""amperage"": ""3.5A""}",70,2,True
REP-CAR-003,componente,Cargador Laptop Lenovo 20V 3.25A Tipo USB,Genérico,LNV-USB,Cargador Lenovo con conector tipo USB rectangular,"{""type"": ""cargador"", ""compatibleWith"": [""Lenovo""], ""voltage"": ""20V"", ""amperage"": ""3.25A""}",70,8,True
REP-CAR-004,componente,Cargador Laptop Lenovo 20V 3.25A Punta Fina,Genérico,LNV-4017,Cargador Lenovo Ideapad con punta redonda 4.0x1.7mm,"{""type"": ""cargador"", ""compatibleWith"": [""Lenovo""], ""voltage"": ""20V"", ""amperage"": ""3.25A""}",70,6,True
REP-CAR-005,componente,Cargador Laptop Dell 19.5V 3.34A Punta Delgada,Genérico,DELL-4530,Cargador Dell Inspiron con punta 4.5x3.0mm,"{""type"": ""cargador"", ""compatibleWith"": [""Dell""], ""voltage"": ""19.5V"", ""amperage"": ""3.34A""}",70,4,True
REP-CAR-006,componente,Cargador Laptop Acer 19V 3.42A,Genérico,ACER-5517,Cargador Acer Aspire con punta 5.5x1.7mm,"{""type"": ""cargador"", ""compatibleWith"": [""Acer""], ""voltage"": ""19V"", ""amperage"": ""3.42A""}",70,4,True
REP-CAR-007,componente,Cargador Laptop Asus 19V 3.42A Punta Fina,Genérico,ASUS-4013,Cargador Asus VivoBook con punta 4.0x1.35mm,"{""type"": ""cargador"", ""compatibleWith"": [""Asus""], ""voltage"": ""19V"", ""amperage"": ""3.42A""}",70,13,True
REP-CAR-008,componente,Cargador Laptop Samsung 19V 3.16A,Genérico,SAM-5530,Cargador Samsung con punta 5.5x3.0mm,"{""type"": ""cargador"", ""compatibleWith"": [""Samsung""], ""voltage"": ""19V"", ""amperage"": ""3.16A""}",70,10,True
REP-CAR-009,componente,Cargador Laptop Lenovo 20V 3.25A Tipo C 65W,Genérico,LNV-TYPEC,Cargador universal USB Tipo C 65W para laptops modernas,"{""type"": ""cargador"", ""compatibleWith"": [""Lenovo"", ""HP"", ""Dell"", ""Asus"", ""Acer""], ""voltage"": ""20V"", ""amperage"": ""3.25A""}",120,1,True
REP-FLX-001,componente,Flex de Video Lenovo 15 IIL,Lenovo,15-IIL-Flex,Cable flex de video para Lenovo Ideapad 15 IIL,"{""type"": ""flex"", ""compatibleWith"": [""Lenovo""]}",90,1,True
REP-CAS-001,componente,"Case Disco 2.5"" a USB 3.0",Genérico,Case-HDD-USB3,Enclosure para disco duro de laptop a USB 3.0,"{""type"": ""case"", ""interface"": ""USB 3.0"", ""compatibleWith"": [""PC"", ""laptop""]}",45,24,True
REP-CAS-002,componente,Case Disco M.2 a USB 3.0,Genérico,Case-M2-USB3,Enclosure para disco M.2 NVMe a USB 3.0,"{""type"": ""case"", ""interface"": ""USB 3.0"", ""compatibleWith"": [""PC"", ""laptop""]}",80,3,True
REP-CDY-001,componente,Caddy 12.5mm para Segundo Disco,Genérico,Caddy-12.5,Adaptador para instalar segundo disco en lugar de lectora de CD,"{""type"": ""caddy"", ""size"": ""12.5mm"", ""compatibleWith"": [""HP"", ""Dell"", ""Lenovo"", ""Acer"", ""Asus"", ""Toshiba""]}",35,17,True
PC-OFI-001,computadora,PC Oficina Básica,CBRICENHO Custom,OFI-001,Computadora de escritorio para tareas de oficina y navegación,"{""processor"": ""Intel Celeron G6900"", ""ram"": ""8GB DDR4"", ""storage"": ""256GB SSD NVMe"", ""gpu"": ""Intel UHD 710 (integrada)"", ""useCase"": ""ofimatica""}",1800,2,True
PC-OFI-002,computadora,PC Oficina Avanzada,CBRICENHO Custom,OFI-002,Computadora para oficina con mayor capacidad de almacenamiento,"{""processor"": ""Intel Core i3-12100"", ""ram"": ""8GB DDR4"", ""storage"": ""512GB SSD NVMe"", ""gpu"": ""Intel UHD 730 (integrada)"", ""useCase"": ""ofimatica""}",2400,2,True
PC-EST-001,computadora,PC Estudiante,CBRICENHO Custom,EST-001,Computadora ideal para estudios universitarios y tareas,"{""processor"": ""Intel Core i3-12100"", ""ram"": ""16GB DDR4"", ""storage"": ""512GB SSD NVMe"", ""gpu"": ""Intel UHD 730 (integrada)"", ""useCase"": ""estudio""}",2700,3,True
PC-DIS-001,computadora,PC Diseño Gráfico,CBRICENHO Custom,DIS-001,Computadora optimizada para diseño gráfico y edición,"{""processor"": ""Intel Core i5-12400"", ""ram"": ""16GB DDR4"", ""storage"": ""512GB SSD NVMe + 1TB HDD"", ""gpu"": ""NVIDIA GTX 1650 4GB"", ""useCase"": ""diseno""}",3800,1,True
PC-DIS-002,computadora,PC Diseño Profesional,CBRICENHO Custom,DIS-002,Estación de trabajo para diseño y renderizado profesional,"{""processor"": ""Intel Core i7-12700"", ""ram"": ""32GB DDR4"", ""storage"": ""1TB SSD NVMe"", ""gpu"": ""NVIDIA RTX 3060 12GB"", ""useCase"": ""diseno""}",5500,1,True
PC-PRO-001,computadora,PC Programación,CBRICENHO Custom,PRO-001,Computadora para desarrollo de software y programación,"{""processor"": ""Intel Core i5-12400"", ""ram"": ""16GB DDR4"", ""storage"": ""512GB SSD NVMe"", ""gpu"": ""Intel UHD 730 (integrada)"", ""useCase"": ""programacion""}",3200,2,True
PC-PRO-002,computadora,PC Programación Avanzada,CBRICENHO Custom,PRO-002,Computadora para desarrollo full-stack y virtualización,"{""processor"": ""Intel Core i7-12700"", ""ram"": ""32GB DDR4"", ""storage"": ""1TB SSD NVMe"", ""gpu"": ""Intel UHD 770 (integrada)"", ""useCase"": ""programacion""}",4800,1,True
PC-GAM-001,computadora,PC Gamer Entry,CBRICENHO Custom,GAM-001,Computadora gamer de entrada para juegos populares,"{""processor"": ""Intel Core i5-12400F"", ""ram"": ""16GB DDR4"", ""storage"": ""512GB SSD NVMe"", ""gpu"": ""NVIDIA GTX 1660 Super 6GB"", ""useCase"": ""gaming""}",3500,2,True
PC-GAM-002,computadora,PC Gamer Mid,CBRICENHO Custom,GAM-002,Computadora gamer de nivel medio para juegos exigentes,"{""processor"": ""Intel Core i5-13400F"", ""ram"": ""16GB DDR4"", ""storage"": ""1TB SSD NVMe"", ""gpu"": ""NVIDIA RTX 4060 8GB"", ""useCase"": ""gaming""}",5200,1,True
PC-GAM-003,computadora,PC Gamer Pro,CBRICENHO Custom,GAM-003,Computadora gamer de alto rendimiento para juegos AAA,"{""processor"": ""Intel Core i7-13700F"", ""ram"": ""32GB DDR5"", ""storage"": ""1TB SSD NVMe"", ""gpu"": ""NVIDIA RTX 4070 12GB"", ""useCase"": ""gaming""}",7500,1,True
LAP-LNV-001,laptop,Laptop Lenovo V15 i3-13va,Lenovo,V15 G4,Laptop para uso general con procesador de 13va generación,"{""processor"": ""Intel Core i3-1315U"", ""ram"": ""8GB DDR4"", ""storage"": ""256GB SSD M.2"", ""display"": ""15.6\"" FullHD"", ""os"": ""Windows 10""}",1750,3,True
LAP-HP-001,laptop,Laptop HP 15-FD i5 13va,HP,15-FD0013LA,Laptop de alto rendimiento con pantalla FullHD de 15.6 pulgadas,"{""processor"": ""Intel Core i5-1335U"", ""ram"": ""16GB DDR4"", ""storage"": ""1TB SSD"", ""display"": ""15.6\"" FullHD"", ""os"": ""Windows 11""}",2400,0,True
LAP-LNV-002,laptop,"Laptop Lenovo Ideapad 3 14"" Ryzen 5",Lenovo,Ideapad 3 14ALC6,Laptop versátil para estudio y trabajo con AMD Ryzen 5,"{""processor"": ""AMD Ryzen 5 5500U"", ""ram"": ""8GB DDR4"", ""storage"": ""512GB SSD NVMe"", ""display"": ""14\"" FullHD"", ""os"": ""Windows 11""}",2100,2,True
LAP-ACR-001,laptop,Laptop Acer Aspire 3 i3-12va,Acer,A315-59,Laptop económica para uso diario y estudios,"{""processor"": ""Intel Core i3-1215U"", ""ram"": ""8GB DDR4"", ""storage"": ""256GB SSD"", ""display"": ""15.6\"" FullHD"", ""os"": ""Windows 11""}",1650,2,True
LAP-HP-002,laptop,Laptop HP 245 G9 Ryzen 3,HP,245 G9,Laptop empresarial compacta para trabajo de oficina,"{""processor"": ""AMD Ryzen 3 5425U"", ""ram"": ""8GB DDR4"", ""storage"": ""256GB SSD"", ""display"": ""14\"" HD"", ""os"": ""FreeDOS""}",1500,1,True
LAP-DL-001,laptop,Laptop Dell Inspiron 15 i5,Dell,Inspiron 3520,Laptop Dell con buen balance entre rendimiento y precio,"{""processor"": ""Intel Core i5-1235U"", ""ram"": ""8GB DDR4"", ""storage"": ""512GB SSD"", ""display"": ""15.6\"" FullHD"", ""os"": ""Windows 11""}",2300,1,True
LAP-LNV-003,laptop,Laptop Lenovo IdeaPad Gaming 3,Lenovo,IdeaPad Gaming 3 15IAH7,Laptop gamer de entrada con gráficos dedicados,"{""processor"": ""Intel Core i5-12500H"", ""ram"": ""16GB DDR5"", ""storage"": ""512GB SSD NVMe"", ""display"": ""15.6\"" FullHD 120Hz"", ""gpu"": ""NVIDIA RTX 3050 4GB"", ""os"": ""Windows 11""}",3800,1,True
MON-AOC-001,monitor,"Monitor AOC 19.5"" LED HD",AOC,E2070SWN,Monitor LED de 19.5 pulgadas con resolución 1600x900,"{""size"": ""19.5\"""", ""resolution"": ""1600x900"", ""panel"": ""LED"", ""ports"": ""VGA, HDMI"", ""refreshRate"": ""60Hz""}",460,1,True
MON-AOC-002,monitor,"Monitor AOC 20"" HD VGA/HDMI",AOC,20E1H,Monitor de 20 pulgadas con puertos VGA y HDMI,"{""size"": ""20\"""", ""resolution"": ""1600x900"", ""panel"": ""LED"", ""ports"": ""VGA, HDMI"", ""refreshRate"": ""60Hz""}",400,2,True
MON-AOC-003,monitor,"Monitor AOC 21.5"" FullHD",AOC,22E1H,Monitor FullHD de 21.5 pulgadas con tiempo de respuesta de 5ms,"{""size"": ""21.5\"""", ""resolution"": ""1920x1080"", ""panel"": ""LED"", ""ports"": ""VGA, HDMI"", ""refreshRate"": ""60Hz""}",460,1,True
MON-GMB-001,monitor,"Monitor GAMBYTE 24"" FullHD",GAMBYTE,G24F,Monitor FullHD de 24 pulgadas para uso general y gaming casual,"{""size"": ""24\"""", ""resolution"": ""1920x1080"", ""panel"": ""IPS"", ""ports"": ""VGA, HDMI"", ""refreshRate"": ""75Hz""}",500,2,True
MON-LG-001,monitor,"Monitor LG 24"" IPS FullHD",LG,24MK430H,Monitor IPS de 24 pulgadas con colores vibrantes,"{""size"": ""24\"""", ""resolution"": ""1920x1080"", ""panel"": ""IPS"", ""ports"": ""VGA, HDMI"", ""refreshRate"": ""75Hz""}",580,1,True
MON-SAM-001,monitor,"Monitor Samsung 27"" FullHD Curvo",Samsung,C27F390FHL,Monitor curvo de 27 pulgadas ideal para inmersión visual,"{""size"": ""27\"""", ""resolution"": ""1920x1080"", ""panel"": ""VA Curvo"", ""ports"": ""HDMI, D-Sub"", ""refreshRate"": ""60Hz""}",750,1,True
IMP-EPS-001,impresora,Impresora Multifuncional Epson L3250,Epson,L3250,"Impresora multifuncional WiFi con tanque de tinta, imprime, copia y escanea","{""type"": ""multifuncional"", ""connectivity"": ""WiFi, USB"", ""printType"": ""tinta continua"", ""functions"": ""impresión, copia, escaneo""}",800,0,True
IMP-EPS-002,impresora,Impresora Multifuncional Epson L4260,Epson,L4260,Impresora multifuncional dúplex WiFi con tanque de tinta,"{""type"": ""multifuncional"", ""connectivity"": ""WiFi, USB"", ""printType"": ""tinta continua"", ""functions"": ""impresión dúplex, copia, escaneo""}",999,0,True
IMP-EPS-003,impresora,Impresora Epson L1250 WiFi,Epson,L1250,Impresora solo impresión con WiFi y tanque de tinta,"{""type"": ""impresora"", ""connectivity"": ""WiFi, USB"", ""printType"": ""tinta continua"", ""functions"": ""impresión""}",650,2,True
IMP-CAN-001,impresora,Impresora Multifuncional Canon G3160,Canon,PIXMA G3160,Impresora multifuncional Canon con tanque de tinta recargable,"{""type"": ""multifuncional"", ""connectivity"": ""WiFi, USB"", ""printType"": ""tinta continua"", ""functions"": ""impresión, copia, escaneo""}",750,1,True
IMP-HP-001,impresora,Impresora HP Smart Tank 515 WiFi,HP,Smart Tank 515,Impresora multifuncional HP con tanque de tinta y WiFi,"{""type"": ""multifuncional"", ""connectivity"": ""WiFi, USB, Bluetooth"", ""printType"": ""tinta continua"", ""functions"": ""impresión, copia, escaneo""}",850,1,True
IMP-POR-001,impresora,Mini Impresora Portátil Bluetooth,Genérico,Mini-BT,Impresora térmica portátil conecta por Bluetooth al celular,"{""type"": ""portátil"", ""connectivity"": ""Bluetooth"", ""printType"": ""térmica"", ""functions"": ""impresión""}",110,5,True
CAM-WEB-001,camara,Cámara Web 2K con Micrófono,Micronics,Magnus 2K,Webcam 2K con micrófono integrado para videollamadas,"{""type"": ""webcam"", ""resolution"": ""2K"", ""microphone"": ""integrado""}",90,2,True
CAM-VIG-001,camara,Cámara de Vigilancia WiFi 360°,Genérico,Smart Cam 360,Cámara IP WiFi con visión nocturna y rotación 360 grados,"{""type"": ""vigilancia"", ""resolution"": ""1080p"", ""connectivity"": ""WiFi"", ""features"": ""visión nocturna, detección movimiento, audio bidireccional""}",250,1,True
CAM-WEB-002,camara,Cámara Web FullHD 1080p USB,Logitech,C270,Webcam USB 1080p para videollamadas y clases virtuales,"{""type"": ""webcam"", ""resolution"": ""1080p"", ""microphone"": ""integrado""}",120,3,True
ACC-MOU-001,accesorio,Mouse Genius DX-110 con Cable USB,Genius,DX-110,"Mouse óptico con cable USB, ideal para oficina","{""type"": ""mouse"", ""connectivity"": ""USB cable""}",35,1,True
ACC-MOU-002,accesorio,Mouse Inalámbrico Recargable,Weibo,WB-Wireless,Mouse inalámbrico recargable con receptor USB,"{""type"": ""mouse"", ""connectivity"": ""inalámbrico 2.4GHz""}",50,1,True
ACC-MOU-003,accesorio,Mouse Gamer Micronics Scorpion,Micronics,Scorpion,Mouse gamer con luces RGB y DPI ajustable,"{""type"": ""mouse"", ""connectivity"": ""USB cable"", ""dpi"": ""hasta 6400""}",60,4,True
ACC-MOU-004,accesorio,Mouse Vertical Inalámbrico Ergonómico,Genérico,Vertical-WL,Mouse vertical ergonómico para prevenir dolor de muñeca,"{""type"": ""mouse"", ""connectivity"": ""inalámbrico 2.4GHz""}",60,3,True
ACC-MOU-005,accesorio,Mouse Teros con Cable USB,Teros,TE-5073,Mouse óptico económico con cable USB,"{""type"": ""mouse"", ""connectivity"": ""USB cable""}",35,5,True
